compiler,case,scenario,mode,trial,checked_messages,worker_processes,signals_sent,basis,successor_all_attached_ns,successor_first_validated_read_ns,old_ready,old_unavailable_orphans
clang,write_partial_ncq_1p1c_t002,write_partial,2,2,20000,7,1,terminal_notification,2001383,2087560,0,1
clang,read_held_ncq_1p1c_t002,read_held,2,2,20000,7,1,terminal_notification,1882438,1954714,0,1
clang,resume_write_ncq_1p1c_t002,resume_write,2,2,20000,7,1,false_suspicion,3806012,3880332,0,1
clang,resume_read_ncq_1p1c_t002,resume_read,2,2,20000,7,1,false_suspicion,3357114,3425184,0,1
clang,async_resume_write_ncq_1p1c_t002,async_resume_write,2,2,1935730,7,1,false_suspicion,12275893,12345906,52,4
clang,write_partial_spsc_1p1c_t002,write_partial,1,2,10000,4,1,terminal_notification,1971754,2042829,0,0
clang,read_held_spsc_1p1c_t002,read_held,1,2,10000,4,1,terminal_notification,1796200,1874436,0,0
clang,resume_write_spsc_1p1c_t002,resume_write,1,2,10000,4,1,false_suspicion,1767948,1854616,0,0
clang,resume_read_spsc_1p1c_t002,resume_read,1,2,10000,4,1,false_suspicion,1789750,1856759,0,0
clang,random_abort_kill_ncq_1p1c_t002,random_abort_kill,2,2,20000,7,1,terminal_notification,2101962,2172907,0,0
clang,storm_spsc_1p1c_t002,storm,1,2,32000,2,18,,,,0,0
clang,storm_ncq_1p1c_t002,storm,2,2,32000,2,30,,,,0,0
clang,storm_ncq_4p4c_t002,storm,2,2,32000,8,60,,,,0,0
clang,storm_ncq_16p1c_t002,storm,2,2,32000,17,50,,,,0,0
clang,storm_ncq_1p16c_t002,storm,2,2,32000,17,182,,,,0,0
clang,storm_ncq_16p16c_t002,storm,2,2,32000,32,264,,,,0,0
clang,storm_restart_spsc_1p1c_t002,storm_restart,1,2,32000,2,26,,,,0,0
clang,storm_restart_ncq_1p1c_t002,storm_restart,2,2,32000,2,30,,,,0,0
clang,storm_restart_ncq_4p4c_t002,storm_restart,2,2,32000,8,40,,,,0,0
clang,storm_restart_ncq_16p1c_t002,storm_restart,2,2,32000,17,124,,,,0,0
clang,storm_restart_ncq_1p16c_t002,storm_restart,2,2,32000,17,150,,,,0,0
clang,storm_restart_ncq_16p16c_t002,storm_restart,2,2,32000,32,500,,,,0,0
